item-43,Etna Extreme 50 km - Individuale Fascia di età/aperto,Sicilia,Running,2018-09-08T22:00:00,2018-09-09T21:59:59
item-44,Discounted Registration - With 5 Nights at 4* Hotel (FREE Upgrade to 5* until 31/03/18!) - HALF FV,Pula,Other endurance,2018-10-26T22:00:00,2018-10-28T22:59:59
item-45,Discounted Registration - With 4 Nights at 4* Hotel (FREE Upgrade to 5* until 31/03/18!) - HALF FV,Pula,Other endurance,2018-10-26T22:00:00,2018-10-28T22:59:59
item-46,Discounted Registration - With 4 Nights at 4* Hotel (FREE Upgrade to 5* until 31/03/18!) - RELAY FV,Pula,Other endurance,2018-10-26T22:00:00,2018-10-28T22:59:59
item-47,Discounted Registration - With 2 Nights at 4* Hotel (FREE Upgrade to 5* until 31/03/18!) - SPRINT FV,Pula,Other endurance,2018-10-26T22:00:00,2018-10-28T22:59:59
item-48,Discounted Registration - With 3 Nights at 4* Hotel (FREE Upgrade to 5* until 31/03/18!) - RELAY FV,Pula,Other endurance,2018-10-26T22:00:00,2018-10-28T22:59:59
item-49,Camp Fee,Cortina d'Ampezzo,Soccer,2018-06-24T00:00:00,2018-06-30T23:59:00
item-50,Camp Fee,Lignano Sabbiadoro,Soccer,2018-07-29T00:00:00,2018-08-04T23:59:00
item-51,Camp Fee,Lignano Sabbiadoro,Soccer,2018-07-22T00:00:00,2018-07-28T23:59:00
item-52,Camp Fee,Jesolo Lido,Soccer,2018-07-15T00:00:00,2018-07-21T23:59:00
item-53,Camp Fee,Jesolo Lido,Soccer,2018-07-08T00:00:00,2018-07-14T23:59:00
item-54,Camp Fee,Cortina d'Ampezzo,Soccer,2018-06-17T00:00:00,2018-06-23T23:59:00
item-55,Winter Kinght Race 7+ - Winter Knight Race (Competitiva Maschile) 7+ 11.00,Urbania,Other endurance,2018-01-05T23:00:00,2018-01-06T22:59:59
item-56,TEAM RELAY VENICE LONG DISTANCE - Join a Relay Team,Venice,Triathlon,2018-06-02T22:00:00,2018-06-03T21:59:59
